bucket,createdAt,key,metaData.owner,metaData.size,mime_type,name,objectId,provider,updatedAt,url
lc-gluttony,2021-09-27T14:19:18.412Z,6wvnoH5leFq2/m9Ru9KvkmJJBoi4dKDIfYEe6H3uzhEVD/いつも何度でも.m4a,unknown,2624202,audio/mp4,いつも何度でも.m4a,6151d2e65e0db15b17f0bf3c,s3,2021-09-27T14:19:18.412Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/m9Ru9KvkmJJBoi4dKDIfYEe6H3uzhEVD/%E3%81%84%E3%81%A4%E3%82%82%E4%BD%95%E5%BA%A6%E3%81%A7%E3%82%82.m4a
lc-gluttony,2021-09-28T04:47:45.589Z,6wvnoH5leFq2/f7c9d2b689f910f67ba1.flac/一步之遥(经典钢琴版) - dylanf.flac,unknown,9648789,audio/x-flac,一步之遥(经典钢琴版) - dylanf.flac,61529e715e0db15b17f0fe24,s3,2021-09-28T04:47:45.589Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/f7c9d2b689f910f67ba1.flac/%E4%B8%80%E6%AD%A5%E4%B9%8B%E9%81%A5%28%E7%BB%8F%E5%85%B8%E9%92%A2%E7%90%B4%E7%89%88%29%20-%20dylanf.flac
lc-gluttony,2021-09-27T14:19:30.368Z,6wvnoH5leFq2/rC8o8917MF6qIlc7CYpBEcjPrRNezu8h/起风了.mp3,unknown,5055120,audio/mpeg,起风了.mp3,6151d2f25e0db15b17f0bf41,s3,2021-09-27T14:19:30.368Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/rC8o8917MF6qIlc7CYpBEcjPrRNezu8h/%E8%B5%B7%E9%A3%8E%E4%BA%86.mp3
lc-gluttony,2021-09-27T14:19:34.969Z,6wvnoH5leFq2/HJC5Kzktayi1OKeX4m86Ths7o9AIdtmS/夜空中最亮的星.mp3,unknown,4046793,audio/mpeg,夜空中最亮的星.mp3,6151d2f65e0db15b17f0bf43,s3,2021-09-27T14:19:34.969Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/HJC5Kzktayi1OKeX4m86Ths7o9AIdtmS/%E5%A4%9C%E7%A9%BA%E4%B8%AD%E6%9C%80%E4%BA%AE%E7%9A%84%E6%98%9F.mp3
lc-gluttony,2021-09-27T14:19:37.464Z,6wvnoH5leFq2/bYvEBKV2Xeenk0mn3WbNCLdsXn28ER2L/追光者.mp3,unknown,3924635,audio/mpeg,追光者.mp3,6151d2f96b4e797ba255f076,s3,2021-09-27T14:19:37.464Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/bYvEBKV2Xeenk0mn3WbNCLdsXn28ER2L/%E8%BF%BD%E5%85%89%E8%80%85.mp3
lc-gluttony,2021-09-28T04:48:16.295Z,6wvnoH5leFq2/8aef6f0d9d558d6b6deb.flac/Canon in D Major (经典钢琴版) - dylanf.flac,unknown,14122037,audio/x-flac,Canon in D Major (经典钢琴版) - dylanf.flac,61529e905e0db15b17f0fe43,s3,2021-09-28T04:48:16.295Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/8aef6f0d9d558d6b6deb.flac/Canon%20in%20D%20Major%20%28%E7%BB%8F%E5%85%B8%E9%92%A2%E7%90%B4%E7%89%88%29%20-%20dylanf.flac
lc-gluttony,2021-09-27T14:19:31.647Z,6wvnoH5leFq2/FHVzDkB8lAN38FbfPrrhDQm2IGDTGXFu/千与千寻（纯音乐）.m4a,unknown,1345416,audio/mp4,千与千寻（纯音乐）.m4a,6151d2f36b4e797ba255f072,s3,2021-09-27T14:19:31.647Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/FHVzDkB8lAN38FbfPrrhDQm2IGDTGXFu/%E5%8D%83%E4%B8%8E%E5%8D%83%E5%AF%BB%EF%BC%88%E7%BA%AF%E9%9F%B3%E4%B9%90%EF%BC%89.m4a
lc-gluttony,2021-09-27T14:19:30.374Z,6wvnoH5leFq2/hvztGJsXgxx6OsXGlPespdtpXzqiVpcA/起风了-和楽器バンド.mp3,unknown,3944518,audio/mpeg,起风了-和楽器バンド.mp3,6151d2f26b4e797ba255f071,s3,2021-09-27T14:19:30.374Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/hvztGJsXgxx6OsXGlPespdtpXzqiVpcA/%E8%B5%B7%E9%A3%8E%E4%BA%86-%E5%92%8C%E6%A5%BD%E5%99%A8%E3%83%90%E3%83%B3%E3%83%89.mp3
lc-gluttony,2021-09-27T14:19:35.822Z,6wvnoH5leFq2/gDKCLb9Q9z3Lsi8EsuaVR3Y9qLRHy7yn/雨的印记(钢琴版).mp3,unknown,2574608,audio/mpeg,雨的印记(钢琴版).mp3,6151d2f76b4e797ba255f075,s3,2021-09-27T14:19:35.822Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/gDKCLb9Q9z3Lsi8EsuaVR3Y9qLRHy7yn/%E9%9B%A8%E7%9A%84%E5%8D%B0%E8%AE%B0%28%E9%92%A2%E7%90%B4%E7%89%88%29.mp3
lc-gluttony,2021-09-28T04:46:47.438Z,6wvnoH5leFq2/24cfe946b3374163c190.flac/私奔到月球 - 五月天、陈绮贞.flac,unknown,28030339,audio/x-flac,私奔到月球 - 五月天、陈绮贞.flac,61529e376b4e797ba25630b8,s3,2021-09-28T04:46:47.438Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/24cfe946b3374163c190.flac/%E7%A7%81%E5%A5%94%E5%88%B0%E6%9C%88%E7%90%83%20-%20%E4%BA%94%E6%9C%88%E5%A4%A9%E3%80%81%E9%99%88%E7%BB%AE%E8%B4%9E.flac
